epoch: 0	train ppl: 21142.323963104416	val ppl: 3189.1894696750114	best val: 3189.1894696750114	time (s) spent in epoch: 29.277954578399658
epoch: 1	train ppl: 6724.969685828993	val ppl: 2106.935633281875	best val: 2106.935633281875	time (s) spent in epoch: 29.464758157730103
epoch: 2	train ppl: 5285.889437787117	val ppl: 2027.0335186896143	best val: 2027.0335186896143	time (s) spent in epoch: 30.0070378780365
epoch: 3	train ppl: 4156.721232558551	val ppl: 1888.7648447105382	best val: 1888.7648447105382	time (s) spent in epoch: 31.001384973526
epoch: 4	train ppl: 3702.12648053194	val ppl: 2862.445528830943	best val: 1888.7648447105382	time (s) spent in epoch: 31.42504858970642
epoch: 5	train ppl: 3095.7902692521207	val ppl: 1576.5685117024427	best val: 1576.5685117024427	time (s) spent in epoch: 31.648815393447876
epoch: 6	train ppl: 3505.1747483321305	val ppl: 2934.798668338129	best val: 1576.5685117024427	time (s) spent in epoch: 30.888368606567383
epoch: 7	train ppl: 3807.934149689046	val ppl: 1268.0986401321966	best val: 1268.0986401321966	time (s) spent in epoch: 32.549662590026855
epoch: 8	train ppl: 3564.2784788911395	val ppl: 3035.0684234615346	best val: 1268.0986401321966	time (s) spent in epoch: 29.85738182067871
epoch: 9	train ppl: 3529.4474025465192	val ppl: 1225333.6427091814	best val: 1268.0986401321966	time (s) spent in epoch: 29.35382652282715
epoch: 10	train ppl: 3415.279083354705	val ppl: 1929.499596122776	best val: 1268.0986401321966	time (s) spent in epoch: 29.253294706344604
epoch: 11	train ppl: 3583.6692544036337	val ppl: 1282.2516775821994	best val: 1268.0986401321966	time (s) spent in epoch: 29.939905643463135
epoch: 12	train ppl: 3037.7882251876304	val ppl: 1731.7755214419562	best val: 1268.0986401321966	time (s) spent in epoch: 29.634296655654907
epoch: 13	train ppl: 3766.394319172219	val ppl: 259965.88945259902	best val: 1268.0986401321966	time (s) spent in epoch: 30.207101583480835
epoch: 14	train ppl: 2992.79193811165	val ppl: 1389.649505072777	best val: 1268.0986401321966	time (s) spent in epoch: 29.78192949295044
epoch: 15	train ppl: 3414.8018860221337	val ppl: 1936.6727234957466	best val: 1268.0986401321966	time (s) spent in epoch: 29.387126922607422
epoch: 16	train ppl: 2949.1137422694246	val ppl: 1811.849756132283	best val: 1268.0986401321966	time (s) spent in epoch: 29.42811942100525
epoch: 17	train ppl: 3310.0530442640234	val ppl: 1314.8343322408007	best val: 1268.0986401321966	time (s) spent in epoch: 29.466062784194946
epoch: 18	train ppl: 3129.29025308475	val ppl: 1700.7279257440816	best val: 1268.0986401321966	time (s) spent in epoch: 29.42689323425293
epoch: 19	train ppl: 3452.5836489076764	val ppl: 1413.969732296412	best val: 1268.0986401321966	time (s) spent in epoch: 29.437968492507935
epoch: 20	train ppl: 3425.480259999564	val ppl: 1850.7571777175897	best val: 1268.0986401321966	time (s) spent in epoch: 29.362205743789673
epoch: 21	train ppl: 3664.6498478207927	val ppl: 140750.61440210245	best val: 1268.0986401321966	time (s) spent in epoch: 29.359469652175903
epoch: 22	train ppl: 2915.9440753740437	val ppl: 1028.364151278536	best val: 1028.364151278536	time (s) spent in epoch: 29.46760845184326
epoch: 23	train ppl: 3316.163507884548	val ppl: 1793.5066614419675	best val: 1028.364151278536	time (s) spent in epoch: 29.310626745224
epoch: 24	train ppl: 3100.8327502788256	val ppl: 923.613405465426	best val: 923.613405465426	time (s) spent in epoch: 29.477591514587402
epoch: 25	train ppl: 1481.7680256015994	val ppl: 949.2972842919139	best val: 923.613405465426	time (s) spent in epoch: 29.49686908721924
epoch: 26	train ppl: 1001.9229073287654	val ppl: 894.6118503097788	best val: 894.6118503097788	time (s) spent in epoch: 29.68308687210083
epoch: 27	train ppl: 1023.682836784922	val ppl: 1570.0419251154894	best val: 894.6118503097788	time (s) spent in epoch: 29.926031351089478
epoch: 28	train ppl: 950.5602937825097	val ppl: 872.7691228272867	best val: 872.7691228272867	time (s) spent in epoch: 29.606667518615723
epoch: 29	train ppl: 851.6878569790172	val ppl: 925.9629378443158	best val: 872.7691228272867	time (s) spent in epoch: 29.685112714767456
epoch: 30	train ppl: 731.1029108712927	val ppl: 546.450582934811	best val: 546.450582934811	time (s) spent in epoch: 29.686989784240723
epoch: 31	train ppl: 642.7258361224939	val ppl: 550.1189349789511	best val: 546.450582934811	time (s) spent in epoch: 30.643805265426636
epoch: 32	train ppl: 565.3322494681753	val ppl: 621.071729732645	best val: 546.450582934811	time (s) spent in epoch: 29.68149185180664
epoch: 33	train ppl: 516.3358135673291	val ppl: 540.0294214166547	best val: 540.0294214166547	time (s) spent in epoch: 29.756314277648926
epoch: 34	train ppl: 479.3055620602745	val ppl: 445.49262769708304	best val: 445.49262769708304	time (s) spent in epoch: 30.128041982650757
epoch: 35	train ppl: 438.755859526739	val ppl: 408.8972550732378	best val: 408.8972550732378	time (s) spent in epoch: 29.623534202575684
epoch: 36	train ppl: 393.6585595707154	val ppl: 345.0330803997355	best val: 345.0330803997355	time (s) spent in epoch: 30.668984413146973
epoch: 37	train ppl: 365.57167677080594	val ppl: 358.8574848696168	best val: 345.0330803997355	time (s) spent in epoch: 29.58441996574402
epoch: 38	train ppl: 343.7710654247605	val ppl: 391.4136923258925	best val: 345.0330803997355	time (s) spent in epoch: 29.53273606300354
epoch: 39	train ppl: 322.207224019616	val ppl: 295.95449021948474	best val: 295.95449021948474	time (s) spent in epoch: 29.5820734500885
